date,price,open,high,low,vol.,change %,vol,perc_chg
16-02-2022,"1,559.38","1,536.16","1,561.57","1,536.16",,1.90%,,
17-02-2022,"1,564.80","1,559.85","1,568.08","1,552.37",,0.35%,,
18-02-2022,"1,538.93","1,563.69","1,563.69","1,538.05",,-1.65%,,
21-02-2022,"1,519.41","1,534.90","1,534.90","1,516.52",,-1.27%,,
22-02-2022,"1,493.85","1,518.53","1,518.53","1,482.76",,-1.68%,,
23-02-2022,"1,493.57","1,493.17","1,499.04","1,486.48",,-0.02%,,
24-02-2022,"1,431.26","1,488.03","1,488.03","1,430.97",,-4.17%,,
25-02-2022,"1,437.76","1,430.80","1,449.12","1,430.80",,0.45%,,
28-02-2022,"1,439.49","1,440.47","1,440.47","1,422.10",,0.12%,,
01-03-2022,"1,447.31","1,441.95","1,455.40","1,440.65",,0.54%,,
02-03-2022,"1,430.79","1,443.79","1,444.33","1,429.09",,-1.14%,,
03-03-2022,"1,432.24","1,432.67","1,440.00","1,430.26",,0.10%,,
04-03-2022,"1,390.90","1,427.00","1,427.00","1,390.38",,-2.89%,,
07-03-2022,"1,335.48","1,384.73","1,384.73","1,333.38",,-3.98%,,
08-03-2022,"1,314.75","1,327.95","1,336.05","1,308.22",,-1.55%,,
09-03-2022,"1,320.80","1,315.09","1,325.15","1,300.17",,0.46%,,
10-03-2022,"1,351.34","1,329.20","1,359.06","1,329.20",,2.31%,,
11-03-2022,"1,317.91","1,344.90","1,344.90","1,304.15",,-2.47%,,
14-03-2022,"1,270.73","1,310.59","1,312.75","1,265.71",,-3.58%,,
15-03-2022,"1,212.26","1,264.49","1,264.86","1,211.03",,-4.60%,,
16-03-2022,"1,298.95","1,217.89","1,299.26","1,216.10",,7.15%,,
17-03-2022,"1,385.97","1,320.39","1,387.91","1,320.39",,6.70%,,
18-03-2022,"1,374.30","1,385.54","1,386.47","1,352.99",,-0.84%,,
21-03-2022,"1,366.43","1,377.95","1,395.81","1,362.84",,-0.57%,,
22-03-2022,"1,390.52","1,363.74","1,391.71","1,358.79",,1.76%,,
23-03-2022,"1,411.54","1,398.15","1,424.93","1,398.15",,1.51%,,
24-03-2022,"1,395.65","1,411.17","1,411.17","1,393.96",,-1.13%,,
25-03-2022,"1,375.36","1,395.47","1,397.66","1,371.05",,-1.45%,,
28-03-2022,"1,375.82","1,370.43","1,379.57","1,354.41",,0.03%,,
