date,price,open,high,low,change %,vol,perc_chg
2016-11-10,875.63,881.05,893.7,871.75,-0.51%,,
2016-11-11,849.1,871.77,872.24,846.56,-3.03%,,
2016-11-14,838.96,849.31,850.33,837.12,-1.19%,,
2016-11-15,841.49,839.55,844.36,838.93,0.30%,,
2016-11-16,847.15,842.41,848.61,842.16,0.67%,,
2016-11-17,847.19,846.46,849.63,844.64,0.00%,,
2016-11-18,844.53,844.95,847.97,841.79,-0.31%,,
2016-11-21,847.4,844.51,849.05,842.78,0.34%,,
2016-11-22,857.45,847.84,859.88,847.84,1.19%,,
2016-11-23,855.92,858.76,860.61,852.84,-0.18%,,
2016-11-24,852.02,855.47,855.47,851.32,-0.46%,,
2016-11-25,855.78,851.73,856.69,851.06,0.44%,,
2016-11-28,863.17,856.87,863.84,856.03,0.86%,,
2016-11-29,858.47,863.45,864.16,858.08,-0.54%,,
2016-11-30,862.83,858.15,863.55,858.11,0.51%,,
2016-12-01,858.41,860.96,865.79,857.64,-0.51%,,
2016-12-02,853.07,856.46,856.69,848.81,-0.62%,,
2016-12-05,853.97,853.22,856.38,849.29,0.11%,,
2016-12-06,861.49,856.23,862.47,856.23,0.88%,,
2016-12-07,867.61,862.63,870.21,862.53,0.71%,,
2016-12-08,879.32,870.27,879.69,870.27,1.35%,,
2016-12-09,877.85,878.93,878.97,874.01,-0.17%,,
2016-12-12,872.24,877.14,877.69,872.22,-0.64%,,
2016-12-13,877.2,873.28,878.42,872.16,0.57%,,
2016-12-14,872.76,877.88,878.68,867.51,-0.51%,,
2016-12-15,858.65,867.67,867.67,856.69,-1.62%,,
2016-12-16,856.4,859,860.75,855.64,-0.26%,,
2016-12-19,851.13,856.34,856.87,850.49,-0.62%,,
2016-12-20,851.31,850.89,852.09,848.33,0.02%,,
2016-12-21,851.17,852.58,853.47,850.71,-0.02%,,
2016-12-22,842.51,851.17,851.3,840.81,-1.02%,,
2016-12-23,841.6,842.65,842.92,840.27,-0.11%,,
2016-12-26,842.45,841.49,843.28,841.37,0.10%,,
2016-12-27,844.66,842.59,845.22,841.86,0.26%,,
2016-12-28,851.18,844.37,851.18,843.51,0.77%,,
2016-12-29,858.44,850.68,859.03,849.39,0.85%,,
2016-12-30,862.27,859.95,863.36,859.95,0.45%,,
2017-01-02,861.88,860.73,861.88,859.56,-0.05%,,
2017-01-03,868.44,859.58,868.44,858.02,0.76%,,
2017-01-04,871.45,867.11,873.36,866.56,0.35%,,
2017-01-05,881.72,872.95,883.07,872.83,1.18%,,
2017-01-06,881.11,882.74,884.06,879.03,-0.07%,,
2017-01-09,878.44,879.36,881.01,877.38,-0.30%,,
2017-01-10,885.7,879.6,886,879.07,0.83%,,
2017-01-11,886.73,883.79,891.58,883.79,0.12%,,
2017-01-12,896.64,889.85,900.44,889.85,1.12%,,
2017-01-13,895.98,897.2,897.22,894.64,-0.07%,,
2017-01-16,889.11,895.7,895.77,888.27,-0.77%,,
2017-01-17,894.87,888.39,897.66,888.38,0.65%,,
2017-01-18,897.89,897.69,899.51,893.97,0.34%,,
2017-01-19,894.52,895.7,896.2,892.96,-0.38%,,
2017-01-20,893.28,895.32,895.83,890.88,-0.14%,,
2017-01-23,902.14,893.66,902.41,893.66,0.99%,,
2017-01-24,908.63,902.85,909.79,902.68,0.72%,,
2017-01-25,912.16,907.68,913.35,907.68,0.39%,,
2017-01-26,916.73,913.48,918.9,913.48,0.50%,,
2017-01-27,915.92,914.71,915.92,911.72,-0.09%,,
2017-01-30,913.09,913.45,914.37,909.66,-0.31%,,
2017-01-31,909.23,911.36,913.34,907.88,-0.42%,,
2017-02-01,913,911.05,915.66,909.1,0.41%,,
2017-02-02,915.21,915.03,917.92,913.59,0.24%,,
2017-02-03,918.87,915.72,921.99,913.47,0.40%,,
2017-02-06,922.99,920.82,926.16,920.25,0.45%,,
2017-02-07,919.8,924.02,924.02,918.17,-0.35%,,
2017-02-08,921.68,919.98,922.49,915.81,0.20%,,
2017-02-09,925.57,921.92,927.05,921.6,0.42%,,
2017-02-10,930.16,925.31,931.96,924.92,0.50%,,
2017-02-13,935.45,931.2,936.5,929.56,0.57%,,
2017-02-14,934.08,936.3,938.61,933.13,-0.15%,,
2017-02-15,941.78,936.11,944.36,935.55,0.82%,,
2017-02-16,945.62,943.94,947.27,942.88,0.41%,,
2017-02-17,939.03,943.75,944.08,937.14,-0.70%,,
2017-02-20,943.58,938.33,944.21,938.23,0.48%,,
2017-02-21,945.64,943.82,947.44,942.81,0.22%,,
2017-02-22,950.95,947.06,952.75,947.06,0.56%,,
2017-02-23,952.12,952.06,956.64,950.83,0.12%,,
2017-02-24,943.52,952.34,952.46,943.27,-0.90%,,
2017-02-27,940.32,943.32,944.21,939.35,-0.34%,,
2017-02-28,936.37,939.98,941.52,935.09,-0.42%,,
2017-03-01,938.47,934.5,938.92,932.78,0.22%,,
2017-03-02,936.37,938.82,943.67,932.77,-0.22%,,
2017-03-03,931.07,933.36,933.36,926.82,-0.57%,,
2017-03-06,934.42,933.07,937.24,931.83,0.36%,,
2017-03-07,936.5,933.78,938.37,933.65,0.22%,,
2017-03-08,934.9,936.04,939.08,931.8,-0.17%,,
2017-03-09,922.94,932.41,932.53,920.94,-1.28%,,
2017-03-10,926.14,922.3,928.45,920.59,0.35%,,
2017-03-13,938.5,928,938.68,927.75,1.33%,,
2017-03-14,939.97,938.39,942.89,938.39,0.16%,,
