date,price,open,high,low,vol.,change %,vol,perc_chg
03-01-2020,513.96,515.75,519.45,513.7,,-0.31%,,
06-01-2020,508.73,513.79,513.79,507.34,,-1.02%,,
07-01-2020,511.87,509.04,512.23,509.04,,0.62%,,
08-01-2020,508.62,511.79,511.79,506.27,,-0.63%,,
09-01-2020,518.39,509.53,518.76,509.53,,1.92%,,
10-01-2020,520.68,518.41,521.44,517.82,,0.44%,,
13-01-2020,526.87,520.87,527.27,520.77,,1.19%,,
14-01-2020,526.93,527.16,530.25,526.21,,0.01%,,
15-01-2020,524.58,526.69,526.77,522.8,,-0.45%,,
16-01-2020,525.78,524.41,526.47,523.58,,0.23%,,
17-01-2020,528.31,525.92,528.31,525.34,,0.48%,,
20-01-2020,526.8,528.39,530.15,526.51,,-0.29%,,
